age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44.0,blue-collar,single,secondary,no,-212.0,yes,yes,unknown,7.0,may,103.0,4.0,.0,.0,unknown,no
48.0,blue-collar,married,secondary,no,1230.0,yes,yes,unknown,7.0,may,152.0,3.0,.0,.0,unknown,no
46.0,blue-collar,married,secondary,no,1045.0,yes,yes,unknown,7.0,may,149.0,1.0,.0,.0,unknown,no
44.0,technician,married,secondary,no,-97.0,yes,no,unknown,7.0,may,408.0,3.0,.0,.0,unknown,no
36.0,blue-collar,married,secondary,no,-147.0,yes,no,unknown,8.0,may,156.0,1.0,.0,.0,unknown,no
37.0,blue-collar,married,primary,no,190.0,yes,yes,unknown,8.0,may,194.0,1.0,.0,.0,unknown,no
40.0,technician,married,tertiary,no,103.0,yes,no,unknown,8.0,may,135.0,2.0,.0,.0,unknown,no
31.0,management,single,tertiary,no,7444.0,yes,yes,unknown,8.0,may,20.0,1.0,.0,.0,unknown,no
27.0,student,single,secondary,no,81.0,yes,no,unknown,8.0,may,238.0,1.0,.0,.0,unknown,no
33.0,admin.,divorced,secondary,no,1128.0,yes,no,unknown,8.0,may,139.0,2.0,.0,.0,unknown,no
27.0,admin.,single,secondary,no,181.0,yes,no,unknown,8.0,may,231.0,2.0,.0,.0,unknown,no
29.0,blue-collar,married,secondary,no,5903.0,yes,no,unknown,8.0,may,194.0,1.0,.0,.0,unknown,no
40.0,blue-collar,single,secondary,no,1.0,yes,no,unknown,8.0,may,190.0,1.0,.0,.0,unknown,no
38.0,blue-collar,married,secondary,no,4586.0,yes,no,unknown,8.0,may,784.0,1.0,.0,.0,unknown,no
46.0,services,married,secondary,no,397.0,no,no,unknown,8.0,may,93.0,1.0,.0,.0,unknown,no
41.0,management,divorced,tertiary,no,47.0,yes,no,unknown,8.0,may,160.0,1.0,.0,.0,unknown,no
28.0,technician,married,primary,no,-58.0,yes,no,unknown,8.0,may,74.0,1.0,.0,.0,unknown,no
40.0,management,married,tertiary,no,121.0,no,no,unknown,8.0,may,82.0,1.0,.0,.0,unknown,no
37.0,blue-collar,married,secondary,no,105.0,yes,no,unknown,8.0,may,69.0,2.0,.0,.0,unknown,no
42.0,blue-collar,married,primary,no,555.0,yes,no,unknown,8.0,may,249.0,2.0,.0,.0,unknown,no
28.0,blue-collar,married,unknown,no,486.0,yes,no,unknown,8.0,may,180.0,1.0,.0,.0,unknown,no
36.0,services,single,secondary,no,-45.0,yes,no,unknown,8.0,may,289.0,1.0,.0,.0,unknown,no
31.0,services,married,secondary,no,28.0,yes,no,unknown,8.0,may,101.0,1.0,.0,.0,unknown,no
35.0,blue-collar,married,secondary,no,-339.0,yes,no,unknown,8.0,may,389.0,2.0,.0,.0,unknown,no
25.0,blue-collar,single,secondary,no,.0,yes,no,unknown,8.0,may,30.0,2.0,.0,.0,unknown,no
29.0,services,single,secondary,no,2.0,no,no,unknown,8.0,may,190.0,1.0,.0,.0,unknown,no
29.0,management,divorced,tertiary,no,607.0,yes,yes,unknown,8.0,may,240.0,3.0,.0,.0,unknown,no
43.0,technician,married,secondary,no,1824.0,yes,no,unknown,8.0,may,296.0,1.0,.0,.0,unknown,no
34.0,blue-collar,married,secondary,no,103.0,yes,yes,unknown,8.0,may,956.0,2.0,.0,.0,unknown,no
31.0,blue-collar,married,secondary,no,186.0,yes,no,unknown,8.0,may,257.0,3.0,.0,.0,unknown,no
38.0,management,single,tertiary,no,.0,yes,no,unknown,8.0,may,92.0,3.0,.0,.0,unknown,no
31.0,blue-collar,married,primary,no,50.0,yes,no,unknown,8.0,may,300.0,2.0,.0,.0,unknown,no
27.0,technician,single,secondary,no,584.0,yes,no,unknown,8.0,may,192.0,2.0,.0,.0,unknown,no
36.0,technician,married,secondary,no,195.0,yes,no,unknown,8.0,may,380.0,2.0,.0,.0,unknown,no
39.0,blue-collar,married,primary,no,332.0,yes,no,unknown,8.0,may,277.0,3.0,.0,.0,unknown,no
50.0,blue-collar,married,primary,no,749.0,no,no,unknown,8.0,may,297.0,2.0,.0,.0,unknown,no
37.0,admin.,married,secondary,no,14.0,yes,no,unknown,8.0,may,176.0,2.0,.0,.0,unknown,no
53.0,blue-collar,married,secondary,no,359.0,no,yes,unknown,8.0,may,238.0,8.0,.0,.0,unknown,no
50.0,services,single,secondary,no,72.0,no,no,unknown,8.0,may,141.0,2.0,.0,.0,unknown,no
44.0,management,divorced,tertiary,no,3932.0,yes,no,unknown,8.0,may,40.0,2.0,.0,.0,unknown,no
36.0,blue-collar,married,secondary,no,406.0,yes,no,unknown,8.0,may,826.0,3.0,.0,.0,unknown,no
39.0,blue-collar,married,primary,no,-432.0,yes,no,unknown,8.0,may,159.0,3.0,.0,.0,unknown,no
30.0,technician,married,unknown,yes,-315.0,yes,no,unknown,8.0,may,201.0,2.0,.0,.0,unknown,no
38.0,blue-collar,married,primary,no,.0,yes,no,unknown,8.0,may,732.0,2.0,.0,.0,unknown,no
31.0,unemployed,single,tertiary,no,133.0,yes,no,unknown,9.0,may,480.0,2.0,.0,.0,unknown,no
44.0,management,married,tertiary,no,223.0,yes,no,unknown,9.0,may,93.0,2.0,.0,.0,unknown,no
36.0,services,married,secondary,no,211.0,yes,no,unknown,9.0,may,93.0,2.0,.0,.0,unknown,no
50.0,blue-collar,married,primary,no,2590.0,yes,no,unknown,9.0,may,257.0,6.0,.0,.0,unknown,no
32.0,admin.,single,secondary,no,-227.0,yes,yes,unknown,9.0,may,646.0,1.0,.0,.0,unknown,no
56.0,admin.,married,primary,no,202.0,yes,no,unknown,9.0,may,178.0,2.0,.0,.0,unknown,no
32.0,blue-collar,single,secondary,no,160.0,yes,no,unknown,9.0,may,190.0,1.0,.0,.0,unknown,no
55.0,services,married,secondary,no,186.0,yes,yes,unknown,9.0,may,241.0,1.0,.0,.0,unknown,no
43.0,management,married,tertiary,no,291.0,yes,no,unknown,9.0,may,150.0,2.0,.0,.0,unknown,no
29.0,self-employed,single,tertiary,no,5406.0,no,no,unknown,9.0,may,530.0,2.0,.0,.0,unknown,no
33.0,blue-collar,married,secondary,no,269.0,yes,no,unknown,9.0,may,365.0,1.0,.0,.0,unknown,no
27.0,blue-collar,married,tertiary,no,350.0,no,no,unknown,9.0,may,24.0,1.0,.0,.0,unknown,no
43.0,blue-collar,married,primary,no,336.0,yes,no,unknown,9.0,may,256.0,5.0,.0,.0,unknown,no
37.0,technician,married,secondary,no,277.0,yes,no,unknown,9.0,may,251.0,2.0,.0,.0,unknown,no
28.0,blue-collar,single,secondary,no,7.0,yes,yes,unknown,9.0,may,125.0,3.0,.0,.0,unknown,no
41.0,admin.,married,secondary,no,442.0,yes,yes,unknown,9.0,may,344.0,2.0,.0,.0,unknown,no
32.0,blue-collar,married,secondary,no,-208.0,yes,yes,unknown,9.0,may,325.0,1.0,.0,.0,unknown,no
26.0,entrepreneur,married,tertiary,no,79.0,yes,yes,unknown,9.0,may,346.0,3.0,.0,.0,unknown,no
45.0,services,single,secondary,no,-139.0,yes,no,unknown,9.0,may,663.0,3.0,.0,.0,unknown,no
44.0,admin.,married,secondary,no,469.0,yes,no,unknown,9.0,may,88.0,4.0,.0,.0,unknown,no
25.0,admin.,single,secondary,no,61.0,yes,no,unknown,9.0,may,345.0,9.0,.0,.0,unknown,no
30.0,technician,single,tertiary,no,2530.0,yes,no,unknown,9.0,may,70.0,1.0,.0,.0,unknown,no
47.0,management,divorced,tertiary,no,84.0,yes,no,unknown,9.0,may,229.0,5.0,.0,.0,unknown,no
29.0,blue-collar,single,secondary,no,853.0,yes,no,unknown,9.0,may,177.0,2.0,.0,.0,unknown,no
57.0,blue-collar,married,secondary,no,221.0,yes,no,unknown,9.0,may,122.0,2.0,.0,.0,unknown,no
45.0,management,single,tertiary,no,5694.0,yes,no,unknown,9.0,may,214.0,2.0,.0,.0,unknown,no
32.0,blue-collar,married,primary,no,-89.0,yes,no,unknown,9.0,may,389.0,2.0,.0,.0,unknown,no
49.0,services,divorced,secondary,no,315.0,yes,no,unknown,9.0,may,117.0,2.0,.0,.0,unknown,no
47.0,admin.,single,secondary,no,15.0,no,no,unknown,12.0,may,181.0,4.0,.0,.0,unknown,no
33.0,blue-collar,married,secondary,no,-257.0,yes,no,unknown,12.0,may,92.0,4.0,.0,.0,unknown,no
26.0,management,divorced,tertiary,yes,-402.0,no,yes,unknown,12.0,may,127.0,2.0,.0,.0,unknown,no
47.0,blue-collar,married,primary,no,304.0,yes,no,unknown,12.0,may,185.0,1.0,.0,.0,unknown,no
25.0,admin.,single,tertiary,no,40.0,no,no,unknown,12.0,may,64.0,1.0,.0,.0,unknown,no
27.0,blue-collar,single,secondary,no,3675.0,no,no,unknown,12.0,may,101.0,2.0,.0,.0,unknown,no
31.0,blue-collar,married,secondary,no,297.0,yes,no,unknown,12.0,may,480.0,1.0,.0,.0,unknown,no
30.0,services,single,secondary,no,290.0,yes,no,unknown,12.0,may,446.0,1.0,.0,.0,unknown,no
28.0,blue-collar,single,secondary,no,2845.0,yes,no,unknown,12.0,may,182.0,2.0,.0,.0,unknown,no
38.0,blue-collar,married,secondary,no,332.0,yes,no,unknown,12.0,may,184.0,4.0,.0,.0,unknown,no
38.0,blue-collar,single,unknown,no,573.0,yes,no,unknown,12.0,may,334.0,7.0,.0,.0,unknown,no
35.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,12.0,may,212.0,5.0,.0,.0,unknown,no
55.0,blue-collar,married,primary,no,431.0,yes,no,unknown,12.0,may,68.0,2.0,.0,.0,unknown,no
31.0,management,married,tertiary,no,334.0,yes,no,unknown,13.0,may,449.0,1.0,.0,.0,unknown,no
33.0,management,single,tertiary,no,168.0,yes,no,unknown,13.0,may,155.0,1.0,.0,.0,unknown,no
32.0,management,single,tertiary,yes,-3.0,yes,no,unknown,13.0,may,500.0,2.0,.0,.0,unknown,no
20.0,services,single,secondary,no,-103.0,yes,no,unknown,13.0,may,180.0,1.0,.0,.0,unknown,no
41.0,admin.,married,secondary,no,705.0,yes,no,unknown,13.0,may,205.0,1.0,.0,.0,unknown,no
34.0,management,married,tertiary,no,1557.0,yes,yes,unknown,13.0,may,213.0,1.0,.0,.0,unknown,no
23.0,blue-collar,single,primary,no,2594.0,yes,no,unknown,13.0,may,193.0,1.0,.0,.0,unknown,no
25.0,services,single,secondary,no,382.0,yes,no,unknown,13.0,may,392.0,1.0,.0,.0,unknown,no
45.0,blue-collar,married,secondary,no,4646.0,yes,no,unknown,13.0,may,118.0,1.0,.0,.0,unknown,no
42.0,blue-collar,married,secondary,no,476.0,yes,no,unknown,13.0,may,93.0,1.0,.0,.0,unknown,no
26.0,services,married,secondary,no,380.0,yes,no,unknown,13.0,may,260.0,3.0,.0,.0,unknown,no
41.0,technician,divorced,secondary,no,225.0,yes,yes,unknown,13.0,may,139.0,1.0,.0,.0,unknown,no
29.0,services,single,primary,no,95.0,yes,no,unknown,13.0,may,266.0,2.0,.0,.0,unknown,no
49.0,management,married,tertiary,no,400.0,yes,no,unknown,13.0,may,122.0,1.0,.0,.0,unknown,no
44.0,admin.,married,secondary,no,1362.0,yes,no,unknown,13.0,may,46.0,1.0,.0,.0,unknown,no
57.0,management,married,secondary,no,1026.0,yes,no,unknown,13.0,may,52.0,2.0,.0,.0,unknown,no
42.0,self-employed,married,tertiary,no,5.0,yes,no,unknown,13.0,may,853.0,1.0,.0,.0,unknown,no
45.0,blue-collar,married,secondary,no,105.0,yes,yes,unknown,13.0,may,119.0,1.0,.0,.0,unknown,no
47.0,blue-collar,married,primary,no,300.0,yes,no,unknown,13.0,may,103.0,3.0,.0,.0,unknown,no
29.0,blue-collar,divorced,unknown,no,17.0,yes,no,unknown,13.0,may,31.0,2.0,.0,.0,unknown,no
50.0,unemployed,married,secondary,no,3478.0,yes,no,unknown,13.0,may,342.0,3.0,.0,.0,unknown,no
45.0,admin.,married,secondary,no,985.0,yes,no,unknown,13.0,may,390.0,1.0,.0,.0,unknown,no
60.0,admin.,divorced,unknown,no,791.0,yes,no,unknown,13.0,may,144.0,1.0,.0,.0,unknown,no
31.0,blue-collar,single,secondary,no,-745.0,yes,no,unknown,13.0,may,227.0,1.0,.0,.0,unknown,no
26.0,services,single,secondary,no,8206.0,yes,no,unknown,13.0,may,213.0,2.0,.0,.0,unknown,no
44.0,blue-collar,married,primary,no,300.0,yes,no,unknown,13.0,may,297.0,3.0,.0,.0,unknown,no
46.0,technician,single,secondary,no,148.0,yes,no,unknown,13.0,may,210.0,1.0,.0,.0,unknown,no
32.0,blue-collar,married,secondary,no,363.0,yes,no,unknown,13.0,may,431.0,1.0,.0,.0,unknown,no
43.0,blue-collar,married,primary,no,2047.0,yes,no,unknown,13.0,may,163.0,2.0,.0,.0,unknown,no
31.0,technician,married,tertiary,no,.0,yes,yes,unknown,13.0,may,164.0,2.0,.0,.0,unknown,no
54.0,retired,married,secondary,no,2626.0,no,no,unknown,13.0,may,151.0,2.0,.0,.0,unknown,no
28.0,blue-collar,married,primary,no,15.0,yes,no,unknown,13.0,may,87.0,2.0,.0,.0,unknown,no
33.0,blue-collar,divorced,secondary,no,-238.0,yes,no,unknown,13.0,may,73.0,2.0,.0,.0,unknown,no
33.0,blue-collar,married,tertiary,no,221.0,yes,no,unknown,13.0,may,122.0,7.0,.0,.0,unknown,no
51.0,technician,married,secondary,no,330.0,yes,no,unknown,13.0,may,72.0,4.0,.0,.0,unknown,no
28.0,technician,single,secondary,no,468.0,yes,no,unknown,13.0,may,152.0,3.0,.0,.0,unknown,no
38.0,management,divorced,tertiary,no,547.0,yes,no,unknown,14.0,may,137.0,4.0,.0,.0,unknown,no
52.0,technician,married,secondary,no,.0,no,no,unknown,14.0,may,97.0,2.0,.0,.0,unknown,no
31.0,blue-collar,married,primary,no,591.0,yes,no,unknown,14.0,may,287.0,3.0,.0,.0,unknown,no
55.0,admin.,married,secondary,no,332.0,yes,no,unknown,14.0,may,217.0,1.0,.0,.0,unknown,no
43.0,technician,married,secondary,no,212.0,yes,no,unknown,14.0,may,78.0,1.0,.0,.0,unknown,no
40.0,technician,married,secondary,no,503.0,yes,no,unknown,14.0,may,127.0,3.0,.0,.0,unknown,no
48.0,blue-collar,married,primary,no,584.0,yes,no,unknown,14.0,may,51.0,1.0,.0,.0,unknown,no
41.0,blue-collar,married,secondary,no,338.0,yes,no,unknown,14.0,may,87.0,1.0,.0,.0,unknown,no
30.0,blue-collar,married,secondary,no,938.0,yes,no,unknown,14.0,may,159.0,1.0,.0,.0,unknown,no
46.0,blue-collar,married,secondary,no,1733.0,yes,no,unknown,14.0,may,546.0,1.0,.0,.0,unknown,no
42.0,management,married,tertiary,no,1340.0,yes,no,unknown,14.0,may,299.0,1.0,.0,.0,unknown,no
49.0,technician,married,primary,no,1878.0,yes,no,unknown,14.0,may,267.0,1.0,.0,.0,unknown,no
52.0,entrepreneur,married,tertiary,no,618.0,yes,yes,unknown,14.0,may,166.0,2.0,.0,.0,unknown,no
44.0,technician,single,secondary,no,-27.0,yes,yes,unknown,14.0,may,100.0,3.0,.0,.0,unknown,no
47.0,services,divorced,secondary,no,4906.0,yes,no,unknown,14.0,may,389.0,1.0,.0,.0,unknown,no
35.0,management,single,tertiary,no,592.0,no,yes,unknown,14.0,may,192.0,1.0,.0,.0,unknown,no
41.0,technician,married,tertiary,no,744.0,yes,no,unknown,14.0,may,125.0,1.0,.0,.0,unknown,no
45.0,blue-collar,married,primary,no,532.0,yes,no,unknown,14.0,may,137.0,2.0,.0,.0,unknown,no
27.0,blue-collar,single,secondary,no,1150.0,yes,no,unknown,14.0,may,282.0,1.0,.0,.0,unknown,no
40.0,unemployed,divorced,secondary,no,262.0,yes,no,unknown,14.0,may,163.0,5.0,.0,.0,unknown,no
52.0,management,married,tertiary,no,601.0,yes,no,unknown,14.0,may,249.0,2.0,.0,.0,unknown,no
47.0,management,married,secondary,no,651.0,yes,no,unknown,14.0,may,143.0,3.0,.0,.0,unknown,no
43.0,technician,single,secondary,no,.0,yes,no,unknown,14.0,may,37.0,3.0,.0,.0,unknown,no
20.0,student,single,tertiary,no,79.0,yes,no,unknown,14.0,may,168.0,3.0,.0,.0,unknown,no
42.0,management,married,primary,no,860.0,yes,no,unknown,15.0,may,90.0,3.0,.0,.0,unknown,no
42.0,admin.,married,secondary,no,2918.0,yes,no,unknown,15.0,may,349.0,2.0,.0,.0,unknown,no
45.0,blue-collar,married,secondary,no,4509.0,yes,no,unknown,15.0,may,135.0,1.0,.0,.0,unknown,no
42.0,blue-collar,married,secondary,no,9359.0,yes,no,unknown,15.0,may,197.0,1.0,.0,.0,unknown,no
60.0,retired,divorced,secondary,no,2479.0,yes,yes,unknown,15.0,may,157.0,1.0,.0,.0,unknown,no
41.0,services,married,secondary,no,957.0,yes,no,unknown,15.0,may,326.0,4.0,.0,.0,unknown,no
57.0,retired,divorced,tertiary,no,2516.0,yes,no,unknown,15.0,may,1036.0,1.0,.0,.0,unknown,no
47.0,admin.,married,secondary,no,2354.0,yes,no,unknown,15.0,may,303.0,1.0,.0,.0,unknown,no
54.0,technician,married,tertiary,no,4582.0,yes,no,unknown,15.0,may,165.0,1.0,.0,.0,unknown,no
29.0,blue-collar,single,secondary,no,874.0,yes,no,unknown,15.0,may,68.0,5.0,.0,.0,unknown,no
40.0,management,single,tertiary,no,157.0,yes,no,unknown,15.0,may,68.0,2.0,.0,.0,unknown,no
41.0,blue-collar,married,secondary,no,680.0,yes,no,unknown,15.0,may,173.0,2.0,.0,.0,unknown,no
54.0,admin.,married,unknown,no,3965.0,yes,no,unknown,15.0,may,138.0,2.0,.0,.0,unknown,no
30.0,technician,married,secondary,no,1534.0,yes,yes,unknown,15.0,may,243.0,1.0,.0,.0,unknown,no
46.0,blue-collar,married,primary,no,252.0,yes,no,unknown,15.0,may,570.0,2.0,.0,.0,unknown,no
58.0,technician,married,unknown,no,49.0,yes,no,unknown,15.0,may,75.0,2.0,.0,.0,unknown,no
38.0,admin.,married,secondary,no,.0,yes,no,unknown,15.0,may,225.0,1.0,.0,.0,unknown,no
41.0,technician,divorced,secondary,no,536.0,yes,no,unknown,15.0,may,76.0,3.0,.0,.0,unknown,no
27.0,blue-collar,single,primary,no,431.0,yes,no,unknown,15.0,may,286.0,2.0,.0,.0,unknown,no
33.0,technician,single,secondary,no,402.0,yes,yes,unknown,15.0,may,59.0,1.0,.0,.0,unknown,no
52.0,blue-collar,married,unknown,no,826.0,yes,no,unknown,15.0,may,468.0,2.0,.0,.0,unknown,no
44.0,blue-collar,married,primary,no,.0,yes,no,unknown,15.0,may,226.0,6.0,.0,.0,unknown,no
43.0,blue-collar,single,secondary,no,421.0,yes,no,unknown,15.0,may,298.0,3.0,.0,.0,unknown,no
45.0,blue-collar,married,primary,no,810.0,yes,no,unknown,15.0,may,213.0,4.0,.0,.0,unknown,no
35.0,self-employed,single,primary,no,181.0,yes,no,unknown,15.0,may,19.0,8.0,.0,.0,unknown,no
49.0,management,married,tertiary,no,3840.0,yes,no,unknown,15.0,may,146.0,4.0,.0,.0,unknown,no
31.0,technician,single,secondary,no,1819.0,yes,no,unknown,15.0,may,226.0,2.0,.0,.0,unknown,no
32.0,services,married,secondary,no,55.0,yes,no,unknown,15.0,may,546.0,9.0,.0,.0,unknown,no
55.0,admin.,married,secondary,no,1102.0,yes,no,unknown,15.0,may,126.0,2.0,.0,.0,unknown,no
44.0,blue-collar,married,primary,no,412.0,yes,no,unknown,15.0,may,56.0,13.0,.0,.0,unknown,no
44.0,blue-collar,married,primary,no,140.0,yes,no,unknown,15.0,may,7.0,9.0,.0,.0,unknown,no
55.0,technician,married,tertiary,no,874.0,yes,no,unknown,15.0,may,314.0,11.0,.0,.0,unknown,no
40.0,services,married,secondary,no,574.0,yes,no,unknown,15.0,may,68.0,3.0,.0,.0,unknown,no
58.0,management,married,tertiary,no,2360.0,no,no,unknown,15.0,may,177.0,3.0,.0,.0,unknown,no
39.0,blue-collar,single,primary,no,-21.0,no,no,unknown,15.0,may,121.0,3.0,.0,.0,unknown,no
